product_id;url;url2
3930;/upload/images/3930/177ec771a3465adf238d.jpg;
3930;/upload/images/3930/457c0a91c2dd64940e3f.jpg;
2710;/upload/images/2710/b7a7507ea4bbbc34d036.png;
2715;/upload/images/2715/5146cf87df51c0a4cd08.png;
2929;/upload/images/2929/f72a48c5f92f8451cf77.png;
2930;/upload/images/2930/7f6a7504f175f07b6f03.png;
2710;/upload/images/2710/483ae7824c592156595b.png;
2715;/upload/images/2715/77dd92dee51816b4556d.png;
2929;/upload/images/2929/28c2687f3d1da9cb32d0.png;
2930;/upload/images/2930/4e3145970a0f4e183809.png;
2903;/upload/images/2903/47b0bfa929d98a08cd48.png;
2904;/upload/images/2904/9d5026e7b4e5d2307ac6.png;
2905;/upload/images/2905/1a95bddd2eae2bf51c76.png;
2908;/upload/images/2908/1b01f4e266294350ef00.png;
2922;/upload/images/2922/cd5f42b8fc252c0b32d1.png;
2922;/upload/images/2922/345f79c07120e01205e7.png;
2928;/upload/images/2928/7f79eecc8230d0f230ef.png;
2928;/upload/images/2928/d700ea988e527e064f71.png;
3701;/upload/images/3701/fc6c69329c88fe48f85f.png;
3701;/upload/images/3701/933a360349b6496393c7.png;
3702;/upload/images/3702/6d5aac05a4c98a8c10e3.png;
3702;/upload/images/3702/0070a06de218fb7d129c.png;
3705;/upload/images/3705/cfd402bc7b0c95d8f610.png;
3707;/upload/images/3707/fb77cc9bc5d28bef562a.png;
3707;/upload/images/3707/5bbddd93fdd5d3465f3a.png;
3708;/upload/images/3708/a286273e37617d7e979a.png;
3708;/upload/images/3708/f8675d350bbcd2704fb4.png;
3709;/upload/images/3709/70c5cf8a8a3430c2b49a.png;
3709;/upload/images/3709/699c81454ef1fb9bbd5f.png;
3710;/upload/images/3710/9458bd62aca4e16f5589.png;
3710;/upload/images/3710/d754de243d5e38534ee0.png;
3711;/upload/images/3711/504e6700c7895131ca00.png;
3711;/upload/images/3711/c793243e5d85e3ef7201.png;
3712;/upload/images/3712/693c154b1ba65951a6e7.png;
3712;/upload/images/3712/b48ca390b0c358abd1df.png;
3713;/upload/images/3713/5b30371d1fe8ec0a632b.png;
3714;/upload/images/3714/25310d004a7dfcc01bea.png;
3714;/upload/images/3714/e5babb446357a30c5f56.png;
3715;/upload/images/3715/db4c60bc04a9e7dbde16.png;
3715;/upload/images/3715/ab3296bcf1451d04a720.png;
3716;/upload/images/3716/bb0515e6fd878c69c48d.png;
3716;/upload/images/3716/9d930d0927ef1b146ab2.png;
3717;/upload/images/3717/f5f0f0d58b19cc7873fa.png;
3717;/upload/images/3717/36718a364b0500e5abaa.png;
3718;/upload/images/3718/6676c2887601d470d87e.png;
3718;/upload/images/3718/d550d560d06ae2da7bbc.png;
3719;/upload/images/3719/339f39b636eb5804c66a.png;
3719;/upload/images/3719/fd959c2e03450b8a9753.png;
3720;/upload/images/3720/5fb02f19f2e8b58d5728.png;
3720;/upload/images/3720/3c087261215a7da1ad56.png;
3721;/upload/images/3721/d2bc8793d2b4e63a01d5.png;
3721;/upload/images/3721/7b89762b4e8b7dd8fd94.png;
3722;/upload/images/3722/0b1ed23759395ae9fa59.png;
3722;/upload/images/3722/12b21a54041ae518f500.png;
3723;/upload/images/3723/ab97007b0d7faa5875da.png;
3723;/upload/images/3723/0fa081681e53af2e93b4.png;
3724;/upload/images/3724/6aa1a0230a7a1a51cdba.png;
3724;/upload/images/3724/320a49a8dde69137391b.png;
3725;/upload/images/3725/3ebcd1928ca601e06e42.png;
3725;/upload/images/3725/c11f87f5eaf7f9b1b08e.png;
3726;/upload/images/3726/a4e877b278d85f053214.png;
3726;/upload/images/3726/da26ef67538d5be7c2dd.png;
3727;/upload/images/3727/637babc60d69df4f0d78.png;
3727;/upload/images/3727/8091efdded8c89628f28.png;
3728;/upload/images/3728/c2952cbbc378f67317f1.png;
3728;/upload/images/3728/055f7db9518fb13e1122.png;
3729;/upload/images/3729/4881705493b316a1df9f.png;
3729;/upload/images/3729/b90d776fad149d16a5d1.png;
3730;/upload/images/3730/32a79f4e6043850f35c8.png;
3730;/upload/images/3730/257467d15779dd1e8a4f.png;
3731;/upload/images/3731/be594958eb0177bd375e.png;
3731;/upload/images/3731/8f8ed39e6e7994f41415.png;
3732;/upload/images/3732/eb190c8904d426fd162f.png;
3732;/upload/images/3732/e5b13c920fc12f56f6db.png;
3733;/upload/images/3733/635ced7d52030d6ce8c2.png;
3733;/upload/images/3733/3ec6b9c2410b7aa4762c.png;
3734;/upload/images/3734/327d5eaf3d8a2624714e.png;
3734;/upload/images/3734/18ea82881753decf6b7a.png;
3735;/upload/images/3735/82c73b796558b9137b1e.png;
3735;/upload/images/3735/5b9072e2ff94c9d9b607.png;
